,Ensembl gene ID,HGNC ID,Status,Approved symbol,Approved name,NCBI gene ID,UCSC gene ID,RefSeq accession
52,ENSG00000213281,HGNC:7989,Approved,NRAS,"NRAS proto-oncogene, GTPase",4893,uc009wgu.4,NM_002524
53,ENSG00000232117,HGNC:42711,Approved,LINC00384,long intergenic non-protein coding RNA 384,102157400,,NR_138041
54,ENSG00000234617,HGNC:41269,Approved,SNRK-AS1,SNRK antisense RNA 1,100873954,uc031rzb.2,NR_046757
55,ENSG00000226188,HGNC:16567,Approved,HNRNPA1P3,heterogeneous nuclear ribonucleoprotein A1 pseudogene 3,170524,,NG_001041
56,ENSG00000228156,,,,,,,
57,ENSG00000167494,HGNC:7874,Approved,NOS2P2,nitric oxide synthase 2 pseudogene 2,201288,,NG_001568
58,ENSG00000240296,,,,,,,
59,ENSG00000231248,HGNC:53874,Approved,FAM242D,family with sequence similarity 242 member D,112488742,,NR_170271
60,ENSG00000235581,,,,,,,
61,ENSG00000232558,HGNC:41350,Approved,KCND3-IT1,KCND3 intronic transcript 1,100874295,uc031ulu.1,NR_046783
62,ENSG00000231539,,,,,,,
63,ENSG00000224711,HGNC:52494,Approved,LINC01706,long intergenic non-protein coding RNA 1706,101929312,,NR_110610
64,ENSG00000173141,HGNC:14514,Approved,MRPL57,mitochondrial ribosomal protein L57,78988,,NM_024026
65,ENSG00000228351,,,,,,,
66,ENSG00000225661,HGNC:37720,Approved,RPL14P5,ribosomal protein L14 pseudogene 5,442442,,NG_009084
67,ENSG00000229055,,,,,,,
68,ENSG00000226234,HGNC:33393,Approved,KRT18P24,keratin 18 pseudogene 24,340460,,NT_023935
69,ENSG00000065135,HGNC:4387,Approved,GNAI3,G protein subunit alpha i3,2773,uc001dxz.4,NM_006496
70,ENSG00000234810,,,,,,,
71,ENSG00000227531,,,,,,,
72,ENSG00000229152,HGNC:39891,Approved,ANKRD10-IT1,ANKRD10 intronic transcript 1,100505494,uc058yhs.1,
73,ENSG00000183260,HGNC:16128,Approved,ABHD16B,abhydrolase domain containing 16B,140701,uc002ygx.3,NM_080622
74,ENSG00000226075,HGNC:33916,Approved,PHKG1P1,phosphorylase kinase catalytic subunit gamma 1 pseudogene 1,643941,,NG_005544
75,ENSG00000228028,,,,,,,
76,ENSG00000107862,HGNC:4181,Approved,GBF1,golgi brefeldin A resistant guanine nucleotide exchange factor 1,8729,uc001kux.3,NM_001199378
77,ENSG00000244646,HGNC:23922,Approved,XKRYP7,"XK related, Y-linked pseudogene 7",353515,,NR_171027
78,ENSG00000233363,,,,,,,
79,ENSG00000235560,HGNC:55668,Approved,ZNF747-DT,ZNF747 divergent transcript,107984875,,XR_001752116
80,ENSG00000236232,HGNC:51983,Approved,MTCYBP24,MT-CYB pseudogene 24,107075132,,NG_046505
81,ENSG00000224160,HGNC:37901,Approved,CICP10,capicua transcriptional repressor pseudogene 10,100462787,,NG_021554
82,ENSG00000231979,,,,,,,
83,ENSG00000237927,,,,,,,
84,ENSG00000226835,HGNC:54311,Approved,ARHGAP29-AS1,ARHGAP29 antisense RNA 1,107985092,,XR_001738151
85,ENSG00000232089,,,,,,,
86,ENSG00000229012,,,,,,,
87,ENSG00000239783,,,,,,,
88,ENSG00000242435,HGNC:42353,Approved,UPK3BP1,uroplakin 3B pseudogene 1,107080637,,NG_046687
89,ENSG00000226541,HGNC:36318,Approved,RPL36P10,ribosomal protein L36 pseudogene 10,100271011,,NG_010851
90,ENSG00000225557,HGNC:52122,Approved,MTCO3P20,MT-CO3 pseudogene 20,107075180,,NG_046474
91,ENSG00000180230,HGNC:49489,Approved,NACAP2,NACA pseudogene 2,651144,,NG_005845
92,ENSG00000072422,HGNC:18738,Approved,RHOBTB1,Rho related BTB domain containing 1,9886,uc001jlk.4,NM_001242359
93,ENSG00000226344,HGNC:31920,Approved,CST12P,"cystatin 12, pseudogene",106478911,,NG_044988
94,ENSG00000231701,HGNC:49158,Approved,BMS1P13,BMS1 pseudogene 13,644716,,NG_005577
95,ENSG00000125514,HGNC:16184,Approved,LINC00029,long intergenic non-protein coding RNA 29,100144596,uc061ykm.1,NR_028295
96,ENSG00000236743,,,,,,,
97,ENSG00000237025,HGNC:55087,Approved,PARD6BP1,PARD6B pseudogene 1,100422369,,NG_026759
98,ENSG00000235504,,,,,,,
99,ENSG00000226363,HGNC:50646,Approved,HAGLROS,HAGLR opposite strand lncRNA,102800310,,NR_110457
100,ENSG00000225259,HGNC:18557,Approved,ST13P6,"ST13, Hsp70 interacting protein pseudogene 6",157530,,NR_002199
101,ENSG00000120054,HGNC:2312,Approved,CPN1,carboxypeptidase N subunit 1,1369,uc001kql.3,NM_001308
102,ENSG00000215887,HGNC:34507,Approved,ZNF859P,"zinc finger protein 859, pseudogene",100507490,,NG_028931
103,ENSG00000226571,,,,,,,
104,ENSG00000231358,,,,,,,
105,ENSG00000224036,,,,,,,
106,ENSG00000143032,HGNC:954,Approved,BARHL2,BarH like homeobox 2,343472,uc001dns.4,NM_020063
107,ENSG00000186367,HGNC:33914,Approved,MINAR2,membrane integral NOTCH2 associated receptor 2,100127206,uc031skx.2,NM_001257308
108,ENSG00000135226,HGNC:13479,Approved,UGT2B28,UDP glucuronosyltransferase family 2 member B28,54490,uc003hej.3,NM_053039
109,ENSG00000102069,,,,,,,
110,ENSG00000205784,HGNC:31407,Approved,ARRDC5,arrestin domain containing 5,645432,uc002mbm.3,NM_001080523
111,ENSG00000165511,HGNC:23509,Approved,ZNF22-AS1,ZNF22 antisense RNA 1,220979,uc057syf.1,NR_126421
112,ENSG00000203926,HGNC:14328,Approved,SPANXA2,SPANX family member A2,728712,uc004fbo.4,NM_145662
113,ENSG00000198021,HGNC:11218,Approved,SPANXA1,"sperm protein associated with the nucleus, X-linked, family member A1",30014,uc065bkj.1,NM_013453
114,ENSG00000167046,,,,,,,
115,ENSG00000143013,HGNC:6644,Approved,LMO4,LIM domain only 4,8543,uc001dmi.4,NM_006769
116,ENSG00000230550,HGNC:41109,Approved,ERLNC1,estrogen receptor responsive lncRNA 1,101929441,,NR_123739
117,ENSG00000237631,HGNC:55067,Approved,PARK7P2,PARK7 pseudogene 2,100422232,,NG_023943
118,ENSG00000254001,,,,,,,
119,ENSG00000235119,,,,,,,
120,ENSG00000226286,,,,,,,
121,ENSG00000249967,,,,,,,
122,ENSG00000165886,HGNC:25683,Approved,UBTD1,ubiquitin domain containing 1,80019,uc001knv.2,NM_024954
123,ENSG00000180113,HGNC:21339,Approved,TDRD6,tudor domain containing 6,221400,uc010jze.3,NM_001010870
124,ENSG00000226681,,,,,,,
125,ENSG00000233956,HGNC:23765,Approved,BTF3P6,basic transcription factor 3 pseudogene 6,100499261,,NG_023442
126,ENSG00000242185,,,,,,,
127,ENSG00000232478,,,,,,,
128,ENSG00000162616,HGNC:14886,Approved,DNAJB4,DnaJ heat shock protein family (Hsp40) member B4,11080,uc001dij.4,NM_001317099
129,ENSG00000134594,HGNC:9773,Approved,RAB33A,"RAB33A, member RAS oncogene family",9363,uc004evl.4,NM_004794
130,ENSG00000165695,HGNC:26526,Approved,AK8,adenylate kinase 8,158067,uc004cbu.2,NM_152572
131,ENSG00000198846,HGNC:18988,Approved,TOX,thymocyte selection associated high mobility group box,9760,uc003xtw.1,NM_014729
132,ENSG00000147262,HGNC:19060,Approved,GPR119,G protein-coupled receptor 119,139760,uc011muv.3,NM_178471
133,ENSG00000233309,HGNC:36375,Approved,RPS6P12,ribosomal protein S6 pseudogene 12,100270867,,NG_010080
134,ENSG00000230261,HGNC:14797,Approved,OR52J2P,olfactory receptor family 52 subfamily J member 2 pseudogene,79529,,NG_002266
135,ENSG00000218793,,,,,,,
136,ENSG00000227225,HGNC:42063,Approved,MTND1P14,MT-ND1 pseudogene 14,100873337,,NG_032400
137,ENSG00000187140,HGNC:3804,Approved,FOXD3,forkhead box D3,27022,uc001dax.3,NM_012183
138,ENSG00000132855,HGNC:491,Approved,ANGPTL3,angiopoietin like 3,27329,uc001das.3,NM_014495
139,ENSG00000234219,HGNC:49773,Approved,CDCA4P4,cell division cycle associated 4 pseudogene 4,100188945,,NG_008470
140,ENSG00000231523,HGNC:51685,Approved,SEPTIN14P1,septin 14 pseudogene 1,106480340,,NG_044583
141,ENSG00000233858,HGNC:53931,Approved,LINC02599,long intergenic non-protein coding RNA 2599,113523635,,
142,ENSG00000229184,HGNC:49624,Approved,ATP5PDP2,ATP synthase peripheral stalk subunit d pseudogene 2,138234,,NG_001540
143,ENSG00000224831,HGNC:33205,Approved,TMEM183BP,"transmembrane protein 183B, pseudogene",653659,,NG_070995
144,ENSG00000232111,,,,,,,
145,ENSG00000236537,,,,,,,
146,ENSG00000232746,HGNC:52857,Approved,LINC02022,long intergenic non-protein coding RNA 2022,105376955,,NR_136189
147,ENSG00000235095,,,,,,,
148,ENSG00000228063,HGNC:50560,Approved,LYPLAL1-DT,LYPLAL1 divergent transcript,643723,,NR_038845
149,ENSG00000231032,HGNC:54796,Approved,CEP19P1,CEP19 pseudogene 1,642692,,NG_030144
150,ENSG00000162390,HGNC:18156,Approved,ACOT11,acyl-CoA thioesterase 11,26027,uc001cxm.3,NM_015547
151,ENSG00000213714,HGNC:16101,Approved,FAM209B,family with sequence similarity 209 member B,388799,uc002xxz.5,NM_001013646
152,ENSG00000243438,HGNC:44084,Approved,LARP1BP2,LARP1B pseudogene 2,106479034,,NG_045004
153,ENSG00000101883,HGNC:29993,Approved,RHOXF1,Rhox homeobox family member 1,158800,uc004esk.2,NM_139282
154,ENSG00000220139,,,,,,,
155,ENSG00000198454,HGNC:18147,Approved,LINC02692,long intergenic non-protein coding RNA 2692,101928638,,NR_157392
156,ENSG00000147251,HGNC:23483,Approved,DOCK11,dedicator of cytokinesis 11,139818,uc065avl.1,NM_144658
157,ENSG00000119922,HGNC:5409,Approved,IFIT2,interferon induced protein with tetratricopeptide repeats 2,3433,uc009xts.4,NM_001547
158,ENSG00000239570,HGNC:42930,Approved,SETP11,SET pseudogene 11,100419187,,NG_025756
159,ENSG00000148291,HGNC:11475,Approved,SURF2,surfeit 2,6835,uc004cdi.4,NM_017503
160,ENSG00000255629,,,,,,,
161,ENSG00000204025,HGNC:40593,Approved,TRPC5OS,TRPC5 opposite strand,100329135,uc065atp.1,NM_001195576
162,ENSG00000171357,HGNC:32327,Approved,LURAP1,leucine rich adaptor protein 1,541468,uc010oma.3,NM_001013615
163,ENSG00000072315,HGNC:12337,Approved,TRPC5,transient receptor potential cation channel subfamily C member 5,7224,uc004epl.2,NM_012471
164,ENSG00000236136,HGNC:265,Approved,ADORA2BP1,adenosine A2b receptor pseudogene 1,137,,NG_000843
165,ENSG00000240089,HGNC:23651,Approved,BMS1P3,BMS1 pseudogene 3,414217,,NG_006111
166,ENSG00000248521,,,,,,,
167,ENSG00000198912,HGNC:27915,Approved,C1orf174,chromosome 1 open reading frame 174,339448,uc001alf.4,NM_207356
168,ENSG00000101846,HGNC:11425,Approved,STS,steroid sulfatase,412,uc004cry.5,NM_000351
169,ENSG00000233565,HGNC:35729,Approved,RPL29P9,ribosomal protein L29 pseudogene 9,647285,,NG_010609
170,ENSG00000250597,,,,,,,
171,ENSG00000250289,HGNC:44271,Approved,VWA8P1,von Willebrand factor A domain containing 8 pseudogene 1,106480787,,NG_044066
172,ENSG00000251219,HGNC:41419,Approved,LINC01217,long intergenic non-protein coding RNA 1217,100874276,,NR_046812
173,ENSG00000107140,HGNC:11731,Approved,TESK1,testis associated actin remodelling kinase 1,7016,uc064swy.1,NM_006285
174,ENSG00000232970,HGNC:43967,Approved,POLHP1,DNA polymerase eta pseudogene 1,106480782,,NG_045122
175,ENSG00000147234,HGNC:29382,Approved,FRMPD3,FERM and PDZ domain containing 3,84443,uc033eqj.1,NM_032428
176,ENSG00000188215,HGNC:28734,Approved,DCUN1D3,defective in cullin neddylation 1 domain containing 3,123879,uc002dhz.4,NM_173475
177,ENSG00000256827,,,,,,,
178,ENSG00000044012,HGNC:4683,Approved,GUCA2B,guanylate cyclase activator 2B,2981,uc001chc.1,NM_007102
179,ENSG00000214929,HGNC:37283,Approved,SPATA31D1,SPATA31 subfamily D member 1,389763,uc004amn.3,NM_001001670
180,ENSG00000123570,HGNC:14090,Approved,RAB9B,"RAB9B, member RAS oncogene family",51209,uc004ell.3,NM_016370
181,ENSG00000235849,HGNC:40870,Approved,HS6ST2-AS1,HS6ST2 antisense RNA 1,100874102,uc031tkk.2,NR_046691
182,ENSG00000234655,HGNC:31310,Approved,OR7E155P,olfactory receptor family 7 subfamily E member 155 pseudogene,403297,,NG_004435
183,ENSG00000234031,HGNC:36761,Approved,RPS3AP44,RPS3A pseudogene 44,646527,,NG_010660
184,ENSG00000241409,,,,,,,
185,ENSG00000231335,,,,,,,
186,ENSG00000102195,HGNC:4506,Approved,GPR50,G protein-coupled receptor 50,9248,uc010ntg.3,NM_004224
187,ENSG00000229953,HGNC:56267,Approved,BCAN-AS2,BCAN antisense RNA 2,126568844,,NR_182279
188,ENSG00000184111,HGNC:36137,Approved,RPL11P4,ribosomal protein L11 pseudogene 4,100271272,,NG_010874
189,ENSG00000236669,,,,,,,
190,ENSG00000271114,,,,,,,
191,ENSG00000125966,HGNC:7172,Approved,MMP24,matrix metallopeptidase 24,10893,uc002xbu.3,NM_006690
192,ENSG00000168703,HGNC:16115,Approved,WFDC12,WAP four-disulfide core domain 12,128488,uc002xnf.2,NM_080869
193,ENSG00000237336,,,,,,,
194,ENSG00000225895,HGNC:37731,Approved,TRAPPC2P8,trafficking protein particle complex 2 pseudogene 8,414751,,NG_083987
195,ENSG00000228383,HGNC:37469,Approved,FAM197Y7,family with sequence similarity 197 Y-linked member 7,105379269,,NR_145460
196,ENSG00000237610,HGNC:31274,Approved,OR4C50P,olfactory receptor family 4 subfamily C member 50 pseudogene,256190,,NG_004295
197,ENSG00000223772,HGNC:37978,Approved,GEMIN8P3,gem nuclear organelle associated protein 8 pseudogene 3,100421535,,NG_022678
198,ENSG00000102393,HGNC:4296,Approved,GLA,galactosidase alpha,2717,uc004ehl.2,NM_000169
199,ENSG00000214732,,,,,,,
200,ENSG00000234611,HGNC:19619,Approved,OR2AT2P,olfactory receptor family 2 subfamily AT member 2 pseudogene,390224,,NG_004337
201,ENSG00000147223,HGNC:25117,Approved,RIPPLY1,ripply transcriptional repressor 1,92129,uc004emr.3,NM_001171706
202,ENSG00000122863,HGNC:1971,Approved,CHST3,carbohydrate sulfotransferase 3,9469,uc001jsn.4,NM_004273
203,ENSG00000183308,,,,,,,
204,ENSG00000232578,,,,,,,
205,ENSG00000183439,HGNC:24339,Approved,TRIM61,tripartite motif containing 61,391712,uc003iqw.4,NM_001012414
206,ENSG00000214843,HGNC:39046,Approved,ZFYVE9P2,zinc finger FYVE-type containing 9 pseudogene 2,100420972,,NG_023679
207,ENSG00000186675,HGNC:24935,Approved,MAGEE2,MAGE family member E2,139599,uc004ecj.3,NM_138703
208,ENSG00000142698,HGNC:28250,Approved,C1orf94,chromosome 1 open reading frame 94,84970,uc001bxt.4,NM_032884
209,ENSG00000255289,,,,,,,
210,ENSG00000185899,HGNC:20639,Approved,TAS2R60,taste 2 receptor member 60,338398,uc011ktg.2,NM_177437
211,ENSG00000267757,HGNC:48331,Approved,EML2-AS1,EML2 antisense RNA 1,100287177,,NR_130728
212,ENSG00000226999,,,,,,,
213,ENSG00000255595,,,,,,,
214,ENSG00000204118,HGNC:31706,Approved,NAP1L6P,"nucleosome assembly protein 1 like 6, pseudogene",645996,uc004ebh.2,NR_027291
215,ENSG00000186288,HGNC:27989,Approved,PABPC1L2A,poly(A) binding protein cytoplasmic 1 like 2A,340529,uc004ebg.3,NM_001012977
216,ENSG00000256963,HGNC:56492,Approved,PPDPFP2,PPDPF pseudogene 2,127379756,,
217,ENSG00000136918,HGNC:23745,Approved,WDR38,WD repeat domain 38,401551,uc004box.5,NM_001045476
218,ENSG00000231156,,,,,,,
219,ENSG00000102313,HGNC:28907,Approved,ITIH6,inter-alpha-trypsin inhibitor heavy chain family member 6,347365,uc004dtj.2,NM_198510
220,ENSG00000256391,,,,,,,
221,ENSG00000148215,HGNC:8331,Approved,OR5C1,olfactory receptor family 5 subfamily C member 1,392391,uc011lzd.2,NM_001001923
222,ENSG00000211695,HGNC:12295,Approved,TRGV9,T cell receptor gamma variable 9,6983,uc064cxv.1,NG_001336
223,ENSG00000147138,HGNC:30245,Approved,GPR174,G protein-coupled receptor 174,84636,uc004edg.1,NM_032553
224,ENSG00000224885,HGNC:41392,Approved,EIPR1-IT1,EIPR1 intronic transcript 1,100874301,uc061gdt.1,
225,ENSG00000231560,HGNC:53407,Approved,CLEC12A-AS1,CLEC12A antisense RNA 1,400002,,NR_135047
226,ENSG00000171222,HGNC:10566,Approved,SCAND1,SCAN domain containing 1,51282,uc002xep.3,NM_016558
227,ENSG00000236514,HGNC:56681,Approved,ZNF248-AS1,ZNF248 antisense RNA 1,128266837,,
228,ENSG00000185631,HGNC:54686,Approved,RPL14P6,RPL14 pseudogene 6,100288533,,NG_030149
229,ENSG00000125998,HGNC:16121,Approved,FAM83C,family with sequence similarity 83 member C,128876,uc021wck.2,NM_178468
230,ENSG00000237053,HGNC:4007,Approved,FUCA1P1,alpha-L-fucosidase 1 pseudogene 1,2518,,NG_001122
231,ENSG00000204194,HGNC:13976,Approved,RPL12P1,ribosomal protein L12 pseudogene 1,729727,,NG_006554
232,ENSG00000223978,HGNC:37726,Approved,ZNF736P1Y,"zinc finger protein 736 pseudogene 1, Y-linked",442486,,NG_004755
233,ENSG00000251024,,,,,,,
234,ENSG00000197880,HGNC:29633,Approved,MDS2,myelodysplastic syndrome 2 translocation associated,259283,uc057dgf.1,NR_167901
235,ENSG00000249274,HGNC:48947,Approved,PDLIM1P4,PDZ and LIM domain 1 pseudogene 4,100419185,,NG_025722
236,ENSG00000235805,HGNC:44599,Approved,SOCS5P3,suppressor of cytokine signaling 5 pseudogene 3,100127945,,NG_022203
237,ENSG00000232546,,,,,,,
238,ENSG00000272844,,,,,,,
239,ENSG00000188386,HGNC:9318,Approved,PPP3R2,"protein phosphatase 3 regulatory subunit B, beta",5535,uc004bbr.3,NM_147180
240,ENSG00000204271,HGNC:27272,Approved,SPIN3,spindlin family member 3,169981,uc004dux.2,NM_001010862
241,ENSG00000101440,HGNC:745,Approved,ASIP,agouti signaling protein,434,uc061wig.1,NM_001385218
242,ENSG00000170616,,,,,,,
243,ENSG00000227004,,,,,,,
244,ENSG00000233219,,,,,,,
245,ENSG00000215184,HGNC:36595,Approved,RPS12P16,ribosomal protein S12 pseudogene 16,100271352,,NG_011286
246,ENSG00000234362,HGNC:52733,Approved,LINC01914,long intergenic non-protein coding RNA 1914,101929723,,NR_110262
247,ENSG00000184490,,,,,,,
248,ENSG00000176182,HGNC:20178,Approved,MYPOP,"Myb related transcription factor, partner of profilin",339344,uc002pdt.4,NM_001012643
249,ENSG00000204347,HGNC:33758,Approved,BTBD17,BTB domain containing 17,388419,uc002jkn.3,NM_001080466
250,ENSG00000223549,HGNC:42290,Approved,MTND5P28,MT-ND5 pseudogene 28,100505755,,NG_029210
251,ENSG00000229986,,,,,,,
252,ENSG00000226308,,,,,,,
253,ENSG00000186190,HGNC:16178,Approved,BPIFB3,BPI fold containing family B member 3,359710,uc002wym.1,NM_182658
254,ENSG00000203645,HGNC:43439,Approved,LINC00501,long intergenic non-protein coding RNA 501,100820709,uc032skk.2,NR_047465
255,ENSG00000231342,,,,,,,
256,ENSG00000101367,HGNC:6890,Approved,MAPRE1,microtubule associated protein RP/EB family member 1,22919,uc002wyh.3,NM_012325
257,ENSG00000186162,HGNC:24230,Approved,CIDECP1,CIDEC pseudogene 1,152302,,NR_002786
258,ENSG00000188525,,,,,,,
259,ENSG00000102158,HGNC:28880,Approved,MAGT1,magnesium transporter 1,84061,uc004fof.4,NM_032121
260,ENSG00000232306,,,,,,,
261,ENSG00000217067,,,,,,,
262,ENSG00000205777,HGNC:4098,Approved,GAGE1,G antigen 1,2543,uc064zfw.1,NM_001468
263,ENSG00000232645,HGNC:50744,Approved,LINC01431,long intergenic non-protein coding RNA 1431,100505683,,NR_109884
264,ENSG00000050030,HGNC:29433,Approved,NEXMIF,neurite extension and migration factor,340533,uc004eby.4,NM_001008537
265,ENSG00000227382,HGNC:45099,Approved,EIF4A2P2,eukaryotic translation initiation factor 4A2 pseudogene 2,100421579,,NG_025519
266,ENSG00000204548,HGNC:18101,Approved,DEFB121,defensin beta 121,245934,uc002wvv.3,NM_001011878
267,ENSG00000125304,HGNC:11865,Approved,TM9SF2,transmembrane 9 superfamily member 2,9375,uc001voj.3,NM_004800
268,ENSG00000271243,,,,,,,
269,ENSG00000230318,HGNC:45185,Approved,XRCC6P3,X-ray repair cross complementing 6 pseudogene 3,127086,,NG_022752
270,ENSG00000226465,,,,,,,
271,ENSG00000068394,HGNC:30677,Approved,GPKOW,G-patch domain and KOW motifs,27238,uc004dmr.5,NM_015698
272,ENSG00000226032,,,,,,,
273,ENSG00000229155,HGNC:52878,Approved,LINC02038,long intergenic non-protein coding RNA 2038,105374285,,NR_146718
274,ENSG00000102109,HGNC:17301,Approved,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,27344,uc004dkz.6,NM_013271
275,ENSG00000232717,HGNC:43978,Approved,TRIM51JP,"tripartite motif-containing 51J, pseudogene",643126,,NG_028919
276,ENSG00000230826,,,,,,,
277,ENSG00000232090,HGNC:54764,Approved,POLR2DP1,POLR2D pseudogene 1,442042,,NG_030148
278,ENSG00000228247,HGNC:12465,Approved,UBBP2,ubiquitin B pseudogene 2,23668,,NG_002287
279,ENSG00000135521,HGNC:21173,Approved,LTV1,LTV1 ribosome biogenesis factor,84946,uc003qjs.4,NM_032860
280,ENSG00000224995,HGNC:51265,Approved,LINC01526,long intergenic non-protein coding RNA 1526,101928770,,NR_126363
281,ENSG00000204645,,,,,,,
282,ENSG00000139977,HGNC:19844,Approved,NAA30,"N-alpha-acetyltransferase 30, NatC catalytic subunit",122830,uc001xcx.5,NM_001011713
283,ENSG00000232347,,,,,,,
284,ENSG00000234350,HGNC:55686,Approved,ERICH2-DT,ERICH2 divergent transcript,101926913,,NR_110185
285,ENSG00000125285,HGNC:11197,Approved,SOX21,SRY-box transcription factor 21,11166,uc001vma.4,NM_007084
286,ENSG00000227860,HGNC:42302,Approved,MTND5P18,MT-ND5 pseudogene 18,100873271,,NG_032504
287,ENSG00000236385,,,,,,,
288,ENSG00000234232,HGNC:55098,Approved,PDE4DIPP7,PDE4DIP pseudogene 7,102723955,,XR_001738210
289,ENSG00000158158,HGNC:105,Approved,CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4,26504,uc002swx.3,NM_020184
290,ENSG00000230793,HGNC:39734,Approved,SMARCE1P5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 pseudogene 5",400129,,NG_011330
291,ENSG00000165434,HGNC:20898,Approved,PGM2L1,phosphoglucomutase 2 like 1,283209,uc001ovb.2,NM_173582
292,ENSG00000169605,HGNC:23217,Approved,GKN1,gastrokine 1,56287,uc002sfc.4,NM_019617
293,ENSG00000229375,HGNC:42014,Approved,USP24P1,ubiquitin specific peptidase 24 pseudogene 1,100874248,,NG_032390
294,ENSG00000137310,HGNC:11629,Approved,TCF19,transcription factor 19,6941,uc063mzg.1,NM_007109
295,ENSG00000185641,,,,,,,
296,ENSG00000172939,HGNC:8508,Approved,OXSR1,oxidative stress responsive kinase 1,9943,uc003chy.4,NM_005109
297,ENSG00000230243,HGNC:3716,Approved,FKBP1AP3,FKBP prolyl isomerase 1A pseudogene 3,2284,,NG_006209
298,ENSG00000231333,HGNC:35810,Approved,RPL34P6,ribosomal protein L34 pseudogene 6,100270998,,NG_010790
299,ENSG00000187730,HGNC:4084,Approved,GABRD,gamma-aminobutyric acid type A receptor subunit delta,2563,uc001aip.3,NM_000815
300,ENSG00000224484,,,,,,,
301,ENSG00000162881,HGNC:24884,Approved,OXER1,oxoeicosanoid receptor 1,165140,uc002rss.4,NM_148962
